C1	45.22	10.72	270.00	1uF x 16V	C0603
C2	40.30	11.56	180.00	180uF x 6.3V	CSV-C
D1	41.81	17.00	180.00	TVS	DO-214AA
FD1	12.50	5.00	0.00	FIDUCIAL1X2	FIDUCIAL
FD2	60.50	5.00	0.00	FIDUCIAL1X2	FIDUCIAL
FD3	59.50	109.50	0.00	FIDUCIAL1X2	FIDUCIAL
L2	42.15	25.39	270.00	100uH	CHOKE_WURTH
R1	30.48	32.00	0.00	10k (5%)	R0603
R12	30.48	48.77	0.00	10k (5%)	R0603
R15	30.48	51.31	180.00	10k (5%)	R0603
R16	30.48	53.85	0.00	10k (5%)	R0603
R17	30.48	56.39	0.00	10k (5%)	R0603
R18	30.48	58.93	180.00	10k (5%)	R0603
R19	30.48	61.47	0.00	10k (5%)	R0603
R2	30.48	34.54	180.00	10k (5%)	R0603
R21	7.06	72.63	90.00	75R (1%)	R_PTH_SMD
R25	30.48	66.55	0.00	10k (5%)	R0603
R26	30.48	69.09	180.00	10k (5%)	R0603
R27	30.48	71.63	0.00	10k (5%)	R0603
R28	30.48	74.17	0.00	10k (5%)	R0603
R29	30.48	76.71	180.00	10k (5%)	R0603
R3	30.48	37.08	0.00	10k (5%)	R0603
R30	30.48	79.25	0.00	10k (5%)	R0603
R4	30.48	39.62	0.00	10k (5%)	R0603
R5	30.48	42.16	180.00	10k (5%)	R0603
R6	30.48	44.70	0.00	10k (5%)	R0603
R8	7.12	54.85	90.00	75R (1%)	R_PTH_SMD
R9	7.06	39.10	90.00	75R (1%)	R_PTH_SMD
SJ1	42.25	31.24	180.00	SOLDER_JUMPER_2P_NC	SJ_2S-NC
SJ2	31.62	22.45	180.00	SOLDER_JUMPER_2P_NO	SJ_2S-NO
SJ3	42.22	20.17	180.00	SOLDER_JUMPER_2P_NC	SJ_2S-NC
